time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-12-08T19:54:18.410Z,-15.8357,-72.2508,25.13,4.7,mb,,145,3.112,1.1,us,us20004fze,2015-12-09T17:44:21.386Z,"32km NW of Lluta, Peru",earthquake
2015-12-08T19:42:14.330Z,18.8236,145.5721,199.57,4.7,mb,,93,2.472,0.69,us,us20004fmy,2015-12-09T16:16:38.925Z,"11km WNW of Agrihan, Northern Mariana Islands",earthquake
2015-12-08T18:35:19.680Z,0.9829,127.5026,12.01,5,mb,,50,0.249,0.85,us,us20004fma,2015-12-09T15:09:54.841Z,"23km NNE of Ternate, Indonesia",earthquake
2015-12-08T14:08:44.260Z,38.4868,72.8379,10,4.6,mb,,188,1.28,0.51,us,us1000456b,2015-12-08T22:11:26.484Z,"84km SW of Karakul, Tajikistan",earthquake
2015-12-08T13:32:48.460Z,-30.783,-71.9747,26.14,4.6,mb,,125,0.312,0.73,us,us10004552,2015-12-09T13:06:19.040Z,"76km WSW of Ovalle, Chile",earthquake
2015-12-08T12:56:07.870Z,-30.7884,-71.7392,29.62,5.6,mb,,84,0.145,0.62,us,us1000454p,2015-12-08T18:57:09.000Z,"55km WSW of Ovalle, Chile",earthquake
2015-12-08T12:55:52.320Z,-15.1686,-174.924,247.35,4.8,mb,,64,6.157,0.6,us,us1000454t,2015-12-08T20:58:22.886Z,"152km NW of Hihifo, Tonga",earthquake
2015-12-08T09:28:03.170Z,30.9848,130.5356,127.01,4.8,mb,,58,0.527,1.4,us,us10004539,2015-12-08T17:30:45.854Z,"29km SSW of Ibusuki, Japan",earthquake
2015-12-08T05:54:25.210Z,17.2397,147.5666,28.23,4.9,mb,,77,4.465,1.08,us,us1000451k,2015-12-08T13:56:54.403Z,"213km ESE of Pagan, Northern Mariana Islands",earthquake
2015-12-08T04:17:50.850Z,38.3127,73.2614,10,4.7,mb,,216,1.488,0.91,us,us1000450u,2015-12-08T12:20:32.961Z,"63km WNW of Murghob, Tajikistan",earthquake
2015-12-07T23:27:20.090Z,39.1679,40.3265,10,4.5,mwr,,45,1.467,0.61,us,us100044xr,2015-12-08T07:29:52.479Z,"16km S of Kigi, Turkey",earthquake
2015-12-07T22:53:36.730Z,14.2148,-90.8528,108.62,5.7,mb,,91,1.458,1.26,us,us100044xh,2015-12-11T22:55:53.390Z,"1km NNW of Masagua, Guatemala",earthquake
2015-12-07T22:01:22.940Z,38.5733,72.8784,10,4.5,mb,,118,1.235,1.5,us,us100044wq,2015-12-08T06:03:52.207Z,"75km SW of Karakul, Tajikistan",earthquake
2015-12-07T18:54:33.250Z,38.754,73.1797,10,4.5,mb,,166,1.294,0.85,us,us100044tx,2015-12-08T02:57:01.386Z,"42km SW of Karakul, Tajikistan",earthquake
2015-12-07T18:48:55.840Z,-29.4948,-178.7819,287,4.6,mb,,107,0.785,0.94,us,us100044u0,2015-12-08T02:51:22.758Z,"89km WSW of Raoul Island, New Zealand",earthquake
2015-12-07T18:03:08.840Z,-18.5993,-69.6991,88.02,4.9,mb,,67,0.319,0.78,us,us100044sw,2015-12-07T18:55:22.689Z,"46km SSW of Putre, Chile",earthquake
2015-12-07T17:51:47.660Z,38.2571,72.9473,10,4.7,mb,,112,1.25,0.93,us,us100044sm,2015-12-08T01:54:19.877Z,"89km W of Murghob, Tajikistan",earthquake
2015-12-07T17:41:15.220Z,-30.3253,-72.2232,9.99,4.9,mb,,88,0.615,1.28,us,us100044sc,2015-12-08T01:43:43.771Z,"94km WSW of Coquimbo, Chile",earthquake
2015-12-07T16:35:15.540Z,4.8201,96.0787,9.78,4.7,mb,,123,0.955,0.87,us,us100044r3,2015-12-08T15:12:53.623Z,"49km SSW of Reuleuet, Indonesia",earthquake
2015-12-07T16:22:35.470Z,36.1604,140.7253,52.09,4.7,mb,,148,0.438,0.48,us,us100044qb,2015-12-09T03:59:13.996Z,"20km SSE of Oarai, Japan",earthquake
2015-12-07T15:23:57.050Z,38.5732,73.2312,12.29,4.8,mb,,80,1.435,0.96,us,us100044nz,2015-12-07T23:26:33.216Z,"55km SSW of Karakul, Tajikistan",earthquake
2015-12-07T14:27:17.100Z,38.422,73.0302,5.89,4.6,mb,,120,1.401,0.76,us,us100044ng,2015-12-07T22:29:58.705Z,"78km SW of Karakul, Tajikistan",earthquake
2015-12-07T13:51:15.310Z,39.0178,73.6709,25.69,4.5,mb,,82,1.521,0.47,us,us100044n7,2015-12-07T22:19:07.269Z,"9km ENE of Karakul, Tajikistan",earthquake
2015-12-07T13:50:43.600Z,39.1438,73.4289,10.57,4.5,ml,,94,1.305,0.55,us,us100044na,2015-12-07T21:53:12.165Z,"19km NW of Karakul, Tajikistan",earthquake
2015-12-07T12:59:14.390Z,3.6443,124.5872,307.71,4.5,mb,,84,3.981,1.01,us,us100044my,2015-12-07T21:01:58.027Z,"217km SSW of Sarangani, Philippines",earthquake
2015-12-07T12:52:24.660Z,0.2876,99.531,108.73,4.6,mb,,138,1.509,0.87,us,us100044mu,2015-12-07T20:54:52.764Z,"84km WNW of Bonjol, Indonesia",earthquake
2015-12-07T12:41:33.910Z,44.0735,147.9537,71.54,4.6,mb,,169,3.862,0.68,us,us100044ms,2015-12-07T20:44:12.247Z,"103km ENE of Shikotan, Russia",earthquake
2015-12-07T11:48:03.670Z,38.5131,73.0463,39.06,4.9,mb,,50,1.369,1.17,us,us100044ma,2015-12-07T19:50:39.902Z,"69km SW of Karakul, Tajikistan",earthquake
2015-12-07T10:34:26.120Z,38.218,72.7859,31.36,4.6,mb,,65,2.064,1.26,us,us100044ly,2015-12-07T11:07:52.250Z,"103km W of Murghob, Tajikistan",earthquake
2015-12-07T10:04:59.120Z,38.609,73.2491,23.7,5.4,mb,,57,1.653,1.02,us,us100044lp,2015-12-07T18:07:44.385Z,"51km SSW of Karakul, Tajikistan",earthquake
2015-12-07T09:44:09.420Z,16.9105,-98.9506,64.28,4.7,mb,,208,2.415,1.49,us,us100044la,2015-12-07T17:48:12.961Z,"23km NNE of Cuautepec, Mexico",earthquake
2015-12-07T09:43:04.850Z,2.9224,127.7799,120.11,4.8,mb,,165,2.175,0.69,us,us100044l9,2015-12-07T17:45:46.075Z,"134km N of Tobelo, Indonesia",earthquake
2015-12-07T09:24:57.890Z,38.6662,73.0701,34.87,4.8,mb,,54,1.279,1.47,us,us100044l6,2015-12-07T17:27:38.444Z,"56km SW of Karakul, Tajikistan",earthquake
2015-12-07T08:55:51.500Z,38.5676,73.3194,29.65,4.8,mb,,108,1.492,0.76,us,us100044kt,2015-12-07T17:05:40.121Z,"52km SSW of Karakul, Tajikistan",earthquake
2015-12-07T08:30:57.170Z,41.6814,74.6537,26.07,5.5,mb,,72,1.151,0.66,us,us100044km,2015-12-07T17:48:02.260Z,"29km SSE of Chayek, Kyrgyzstan",earthquake
2015-12-07T08:24:15.800Z,38.2018,72.7274,45.16,4.8,mb,,98,1.078,1.05,us,us100044kg,2015-12-07T08:58:00.422Z,"108km W of Murghob, Tajikistan",earthquake
2015-12-07T07:51:11.950Z,-31.3834,-71.377,48.36,5.6,mb,,74,0.741,0.93,us,us100044k5,2015-12-09T21:58:25.443Z,"34km NW of Illapel, Chile",earthquake
2015-12-07T07:50:06.610Z,38.2579,72.7669,26,7.2,mww,,22,1.138,1.13,us,us100044k6,2015-12-12T23:57:03.000Z,"105km W of Murghob, Tajikistan",earthquake
2015-12-07T05:18:46.560Z,-15.2064,-173.5125,35,4.8,mb,,86,5.153,0.79,us,us100044jv,2015-12-07T13:21:16.628Z,"86km NNE of Hihifo, Tonga",earthquake
2015-12-07T02:54:46.060Z,-17.796,-174.5888,64.55,5.1,mb,,78,7.011,1.36,us,us100044j9,2015-12-07T10:57:13.192Z,"114km NW of Neiafu, Tonga",earthquake
2015-12-07T01:47:05.150Z,-30.2818,-177.601,14.37,5.4,mb,,66,1.071,1.1,us,us100044iy,2015-12-07T09:49:39.066Z,"116km SSE of Raoul Island, New Zealand",earthquake
2015-12-06T23:17:57.750Z,-18.5365,-175.3961,215.41,4.7,mb,,89,5.208,1.22,us,us100044ie,2015-12-07T07:20:38.494Z,"149km W of Neiafu, Tonga",earthquake
2015-12-06T21:56:57.090Z,-17.9925,172.7748,31.98,4.9,mb,,82,5.032,0.93,us,us100044hx,2015-12-07T05:59:37.074Z,"Vanuatu region",earthquake
2015-12-06T21:33:51.210Z,47.7065,154.3293,46.65,4.9,mb,,136,5.82,0.68,us,us100044hn,2015-12-07T05:36:22.122Z,"Kuril Islands",earthquake
2015-12-06T20:54:40.460Z,-11.7231,117.473,34.46,4.6,mb,,103,4.597,0.83,us,us100044hf,2015-12-07T04:57:09.091Z,"285km SW of Panenggoede, Indonesia",earthquake
2015-12-06T19:51:35.310Z,-10.5767,164.2329,47.9,5.4,mb,,129,4.369,1.38,us,us100044h9,2015-12-07T03:54:04.141Z,"175km W of Lata, Solomon Islands",earthquake
2015-12-06T19:16:36.980Z,-48.25,-10.1337,10,5,mb,,78,17.501,1.1,us,us100044h6,2015-12-07T03:19:24.704Z,"Southern Mid-Atlantic Ridge",earthquake
2015-12-06T19:12:13.380Z,43.7212,147.3619,53.44,5,mb,,160,3.468,1.09,us,us100044h3,2015-12-07T03:14:44.935Z,"52km E of Shikotan, Russia",earthquake
2015-12-06T18:57:35.930Z,-19.5357,-178.2086,601.59,4.6,mb,,164,3.967,0.99,us,us100044h1,2015-12-07T03:01:19.174Z,"133km NNE of Ndoi Island, Fiji",earthquake
2015-12-06T17:09:28.800Z,-18.1903,-178.6798,544.33,5.8,mb,,87,3.141,1.04,us,us100044gf,2015-12-08T17:37:52.000Z,"272km N of Ndoi Island, Fiji",earthquake
2015-12-06T16:24:39.080Z,42.3407,15.2162,7.77,4.5,mwr,,27,0.705,0.65,us,us100044g7,2015-12-08T15:35:22.040Z,"43km NNE of Termoli, Italy",earthquake
2015-12-06T16:06:36.490Z,37.2956,71.5225,109.51,4.5,mb,,86,0.258,0.71,us,us100044g6,2015-12-07T15:32:54.910Z,"21km S of Khorugh, Tajikistan",earthquake
2015-12-06T14:52:10.390Z,-23.8378,179.099,565.18,4.6,mb,,87,6.006,0.86,us,us100044g1,2015-12-07T15:20:36.918Z,"South of the Fiji Islands",earthquake
2015-12-06T12:27:54.510Z,-23.2664,-67.6588,175.32,4.8,mb,,67,1.325,0.62,us,us100044fc,2015-12-06T20:30:39.561Z,"69km SE of San Pedro de Atacama, Chile",earthquake
2015-12-06T10:23:53.810Z,-0.0831,125.1831,46.03,4.6,mb,,60,2.342,0.92,us,us100044ev,2015-12-06T18:26:38.277Z,"124km SE of Modayag, Indonesia",earthquake
2015-12-06T10:19:15.760Z,28.659,141.3664,21.1,4.6,mb,,104,1.717,1.09,us,us100044eu,2015-12-06T18:21:59.345Z,"193km NNW of Chichi-shima, Japan",earthquake
2015-12-06T09:13:02.760Z,-30.0823,-176.2751,38.94,4.7,mb,,85,1.663,1.21,us,us100044ef,2015-12-06T17:15:36.215Z,"181km ESE of Raoul Island, New Zealand",earthquake
2015-12-06T08:53:27.490Z,-59.247,-25.8549,39.55,4.8,mb,,113,7.668,0.89,us,us100044ec,2015-12-06T17:04:34.110Z,"44km ESE of Bristol Island, South Sandwich Islands",earthquake
2015-12-06T05:16:08.700Z,5.151,94.6913,53.38,4.6,mb,,155,2.248,0.79,us,us100044dv,2015-12-06T13:18:38.051Z,"83km WSW of Banda Aceh, Indonesia",earthquake
2015-12-06T04:03:13.400Z,-7.3131,155.0214,51.9,5.3,mb,,60,4.207,1.06,us,us100044dd,2015-12-06T12:05:52.808Z,"121km SSW of Panguna, Papua New Guinea",earthquake
2015-12-05T23:14:16.650Z,-1.6545,145.1349,10,4.8,mb,,75,2.263,0.94,us,us100044bx,2015-12-06T07:16:50.724Z,"241km W of Lorengau, Papua New Guinea",earthquake
2015-12-05T22:59:34.670Z,43.8856,85.2362,10,5,mb,,43,3.573,0.98,us,us100044br,2015-12-06T07:02:06.247Z,"58km SSE of Dushanzi, China",earthquake
2015-12-05T19:10:53.440Z,-0.8109,122.3653,10,4.5,mb,,50,2.48,0.93,us,us100044b5,2015-12-06T03:14:15.949Z,"49km WNW of Luwuk, Indonesia",earthquake
2015-12-05T17:14:55.090Z,-26.6915,-177.2102,102.92,4.9,mb,,135,2.622,1.05,us,us100044at,2015-12-08T16:23:48.410Z,"293km NNE of Raoul Island, New Zealand",earthquake
2015-12-05T10:29:19.600Z,-22.5387,-70.2955,26.85,4.7,mb,,130,0.244,1.22,us,us100044a4,2015-12-05T21:28:14.040Z,"50km SSW of Tocopilla, Chile",earthquake
2015-12-05T06:51:35.150Z,-4.2414,106.7907,641.71,4.8,mb,,41,2.475,1.08,us,us1000449m,2015-12-05T08:05:28.574Z,"158km NE of Jepara, Indonesia",earthquake
2015-12-05T05:56:28.770Z,48.8245,153.2664,159.61,4.7,mb,,120,5.121,0.51,us,us1000449a,2015-12-05T13:59:05.585Z,"291km SW of Severo-Kuril'sk, Russia",earthquake
2015-12-05T03:50:48.570Z,-14.8013,167.5054,121.7,4.6,mb,,239,0.705,0.84,us,us10004493,2015-12-05T11:53:29.532Z,"56km ENE of Port-Olry, Vanuatu",earthquake
2015-12-05T02:10:02.180Z,-23.5624,-64.6939,21.1,5.2,mb,,29,3.996,1.48,us,us1000448u,2015-12-05T03:16:22.032Z,"22km NNW of Caimancito, Argentina",earthquake
2015-12-04T22:24:55.830Z,-47.6429,85.0934,10,7.1,mww,,13,10.028,1.28,us,us100043z2,2015-12-08T23:56:07.094Z,"Southeast Indian Ridge",earthquake
2015-12-04T20:22:18.350Z,-53.9693,-2.4045,15.52,5,mb,,110,17.771,0.58,us,us100043fl,2015-12-05T20:25:28.322Z,"Southern Mid-Atlantic Ridge",earthquake
